id,observed_on_string,time_observed_at,user_login,url,image_url,Location details,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,tree species,percent canopy cover,tree diameter-centimeters,lichen percent north,lichen percent east,lichen percent south,lichen percent west,lichen air quality index score,bark ph,Comments
53782835,2020-07-20 6:56:32 PM EDT,2020-07-20 22:56:32 UTC,mbkfrog,https://www.inaturalist.org/observations/53782835,https://inaturalist-open-data.s3.amazonaws.com/photos/85553104/medium.jpeg,"Whitehall, Albany, NY, USA",42.65076074,-73.80425725,Common Lichens,Lecanoromycetes,common lichens,Fungi,,,,,,,,,,
53785363,2020-07-20 7:21:12 PM EDT,2020-07-20 23:21:12 UTC,mbkfrog,https://www.inaturalist.org/observations/53785363,https://inaturalist-open-data.s3.amazonaws.com/photos/85557455/medium.jpeg,"Whitehall, Albany, NY, USA",42.65091717,-73.80433966,Common Lichens,Lecanoromycetes,common lichens,Fungi,Catalpa speciosa,,30,,,,,,,
53896567,2020-07-21 7:32:30 PM EDT,2020-07-21 23:32:30 UTC,mbkfrog,https://www.inaturalist.org/observations/53896567,https://inaturalist-open-data.s3.amazonaws.com/photos/85735572/medium.jpeg,"Whitehall Rd & S. Main Ave, Albany, NY 12208, USA",42.64878607,-73.80557717,Common Lichens,Lecanoromycetes,common lichens,Fungi,,,,,,,,,,
56051943,Mon Aug 10 2020 14:28:31 GMT-0400 (EDT),2020-08-10 18:28:31 UTC,christina772,https://www.inaturalist.org/observations/56051943,https://static.inaturalist.org/photos/89292822/medium.jpg,"Delaware Ave, Albany, NY, US",42.63530909,-73.79273426,Common Lichens,Lecanoromycetes,common lichens,Fungi,Pin Oak,63,93.7,72,17,75,68,6,,
56219624,2020-08-12 9:15:43 AM EDT,2020-08-12 13:15:43 UTC,mbkfrog,https://www.inaturalist.org/observations/56219624,https://inaturalist-open-data.s3.amazonaws.com/photos/89576691/medium.jpeg,"Delaware Ave & Golder St/Normanskill Ave, Albany, NY 12209, USA",42.63547776,-73.7928154,Common Lichens,Lecanoromycetes,common lichens,Fungi,Ginko biloba,100,85,1,20,14,16,3,,
56220372,Wed Aug 12 2020 09:29:45 GMT-0400 (EDT),2020-08-12 13:29:45 UTC,danielle,https://www.inaturalist.org/observations/56220372,https://inaturalist-open-data.s3.amazonaws.com/photos/89577933/medium.jpg,"Adirondack Park, Peru, NY, US",44.54828204,-73.44836081,Common Lichens,Parmelioideae,typical shield lichens,Fungi,Red maple,64.34,35,10,70,61,28,3,6.5,
56221735,Wed Aug 12 2020 09:41:55 GMT-0400 (EDT),2020-08-12 13:41:55 UTC,danielle,https://www.inaturalist.org/observations/56221735,https://inaturalist-open-data.s3.amazonaws.com/photos/89580046/medium.jpg,"Adirondack Park, Peru, NY, US",44.54807505,-73.44849313,Common Lichens,Phlyctis argena,Whitewash Lichen,Fungi,Big-toothed aspen,49.93,37,80,10,6,78,3,,
56222310,Wed Aug 12 2020 09:51:22 GMT-0400 (EDT),2020-08-12 13:51:22 UTC,danielle,https://www.inaturalist.org/observations/56222310,https://inaturalist-open-data.s3.amazonaws.com/photos/89581054/medium.jpg,"Adirondack Park, Peru, NY, US",44.54814873,-73.44814962,Physciaceae,Physciaceae,"rosette lichens, frost lichens, and allies",Fungi,,,13.1,73,,,,3,,
58360611,2020/09/02 2:28 PM UTC,,sbw003,https://www.inaturalist.org/observations/58360611,https://inaturalist-open-data.s3.amazonaws.com/photos/93163709/medium.jpeg,,,,Lecanoromycetes,Lecanoromycetes,common lichens,Fungi,Red Oak,4.96,62.7,68,63,59,52,3,,
58425279,8/31/2020 14:17,2020-09-01 00:17:00 UTC,cool1cool1,https://www.inaturalist.org/observations/58425279,https://static.inaturalist.org/photos/93278359/medium.jpg,mcdaniel college,39.581944,-77.002278,Common Lichens,Lecanoromycetes,common lichens,Fungi,Zelkova serrata,85.63,23.25,4,6,2,6,6,,
58425897,2020-09-02 3:03:36 PM EDT,2020-09-02 19:03:36 UTC,jillianstewart,https://www.inaturalist.org/observations/58425897,https://static.inaturalist.org/photos/93279257/medium.jpeg,"McDaniel College, Westminster, MD 21157, USA",39.58586389,-76.99978889,Common Lichens,Flavoparmelia caperata,common greenshield lichen,Fungi,American sycamore,5.93,69.8,21,15,15,25,6,,
58439215,9/2/2020,,johnmceachern,https://www.inaturalist.org/observations/58439215,https://inaturalist-open-data.s3.amazonaws.com/photos/93300594/medium.jpeg,2 College Hill Westminster Maryland 21157,39.581718,-77.002176,Cructose and Foliose Lichen,Lecanoromycetes,common lichens,Fungi,Quercus rubra,27.36,49.28,46,12,80,13,6,,
58440496,9/2/2020,,johnmceachern,https://www.inaturalist.org/observations/58440496,https://inaturalist-open-data.s3.amazonaws.com/photos/93302245/medium.jpeg,2 College Hill Westminster Maryland 21157,39.581718,-77.002176,Cructose and Foliose Lichens,Lecanoromycetes,common lichens,Fungi,Carpinus betulus,78.41,51.36,58,17,33,63,6,,
58443169,9/2/2020,,johnmceachern,https://www.inaturalist.org/observations/58443169,https://inaturalist-open-data.s3.amazonaws.com/photos/93306485/medium.jpeg,2 College Hill Westminster Maryland 21157,39.581718,-77.002176,Cructose and Foliose Lichens,Lecanoromycetes,common lichens,Fungi,Gleditsia triacanthos,24.79,45,80,57,15,33,6,,
58444173,9/2/2020,,johnmceachern,https://www.inaturalist.org/observations/58444173,https://inaturalist-open-data.s3.amazonaws.com/photos/93308309/medium.jpeg,2 College Hill Westminster Maryland 21157,39.581718,-77.002176,Cructose and Foliose Lichens,Lecanoromycetes,common lichens,Fungi,Acer rubrum,56.26,64.08,65,95,15,52,6,,
58445774,9/2/2020,,johnmceachern,https://www.inaturalist.org/observations/58445774,https://inaturalist-open-data.s3.amazonaws.com/photos/93311089/medium.jpeg,2 College Hill Westminster Maryland 21157,39.581718,-77.002176,Cructose and Foliose Lichens,Lecanoromycetes,common lichens,Fungi,Quercus phellos,46.64,63.2,20,13,35,21,6,,
58449046,8/31/2020 15:32,2020-09-01 01:32:25 UTC,sophiagilbart,https://www.inaturalist.org/observations/58449046,https://inaturalist-open-data.s3.amazonaws.com/photos/93317042/medium.jpg,mcdaniel college,39.583307,-77.002278,Lichens,Lecanoromycetes,common lichens,Fungi,Acer floridanum,80.96,30.36,5,62,74,56,6,,
58453385,2020-08-31 2:46:16 PM EDT,2020-08-31 18:46:16 UTC,ecolabf2020,https://www.inaturalist.org/observations/58453385,https://inaturalist-open-data.s3.amazonaws.com/photos/93324226/medium.jpeg,"McDaniel Hall, Westminster, MD 21157, USA",39.5830072,-77.0015803,Common Lichens,Lecanoromycetes,common lichens,Fungi,European Aspen,52.07,34.97,14,13,7,4,3,,
58459780,9/3/2020,,mjm020,https://www.inaturalist.org/observations/58459780,https://inaturalist-open-data.s3.amazonaws.com/photos/93334663/medium.jpeg,"Baltimore, MD",39.290385,-76.612189,Lichens,Lecanoromycetes,common lichens,Fungi,Franxinus americana,64.79,23.4,55,18,30,25,6,,
58461360,9/3/2020 18:07,2020-09-04 04:07:16 UTC,mjm020,https://www.inaturalist.org/observations/58461360,https://inaturalist-open-data.s3.amazonaws.com/photos/93337315/medium.jpeg,"Baltimore, MD",39.290385,-76.612189,Common Lichens,Lecanoromycetes,common lichens,Fungi,Quercus bicolor,68.88,23.1,12,28,46,28,6,,
58461663,9/3/2020 18:15,2020-09-04 04:15:23 UTC,mjm020,https://www.inaturalist.org/observations/58461663,https://inaturalist-open-data.s3.amazonaws.com/photos/93337990/medium.jpeg,"Baltimore, MD",39.290385,-76.612189,Lichens,Lecanoromycetes,common lichens,Fungi,Franxinus pennsylvanica,68.17,48.8,30,64,20,45,3,,
58475069,8/31/2020,,kaj005,https://www.inaturalist.org/observations/58475069,https://inaturalist-open-data.s3.amazonaws.com/photos/93360961/medium.jpg,Mcdaniel College,39.581944,-77.002278,Lecanoromycetes,Lecanoromycetes,common lichens,Fungi,Acer platanoids,87.34,101.47,3,10,11,3,6,,
58523071,Mon Aug 31 2020 14:54:16 GMT-0400 (EDT),2020-08-31 18:54:16 UTC,amv007,https://www.inaturalist.org/observations/58523071,https://inaturalist-open-data.s3.amazonaws.com/photos/93440989/medium.jpg,"McDaniel College, Westminster, MD, US",39.58337182,-77.00179934,Lichens,Lecanoromycetes,common lichens,Fungi,Quercus palustrus,56.78,37.1,22,18,69,8,3,,
59153439,Wed Sep 09 2020 12:17:56 GMT-0600 (MDT),2020-09-09 18:17:56 UTC,teaganm10,https://www.inaturalist.org/observations/59153439,https://inaturalist-open-data.s3.amazonaws.com/photos/94497267/medium.jpg,"Beaverhead-Deerlodge National Forest, Dillon, MT, US",45.23643731,-112.9306293,,Lecanoromycetes,common lichens,Fungi,Douglas Fir,1.84,27.5,6,1,2,3,9,4,
59153659,Wed Sep 09 2020 12:36:40 GMT-0600 (MDT),2020-09-09 18:36:40 UTC,teaganm10,https://www.inaturalist.org/observations/59153659,https://inaturalist-open-data.s3.amazonaws.com/photos/94497616/medium.jpg,"Beaverhead-Deerlodge National Forest, Dillon, MT, US",45.23649049,-112.9305953,,Lecanoromycetes,common lichens,Fungi,Douglas Fir,2.07,42,5,0,3,16,9,4,
59154078,Wed Sep 09 2020 12:20:48 GMT-0600 (MDT),2020-09-09 18:20:48 UTC,hallebroughton,https://www.inaturalist.org/observations/59154078,https://inaturalist-open-data.s3.amazonaws.com/photos/94498351/medium.jpg,"Beaverhead-Deerlodge National Forest, Dillon, MT, US",45.23621333,-112.9311,,Lecanoromycetes,common lichens,Fungi,Douglas Fir,98.18,59,60,6,0,12,9,4,
59154135,Wed Sep 09 2020 12:17:24 GMT-0600 (MDT),2020-09-09 18:17:24 UTC,paigesalzer,https://www.inaturalist.org/observations/59154135,https://inaturalist-open-data.s3.amazonaws.com/photos/94498725/medium.jpg,"Beaverhead-Deerlodge National Forest, Dillon, MT, US",45.23644667,-112.9307033,Common Lichens,Letharia,Wolf Lichens,Fungi,Douglas Fir,5.97,215.5,72,31,0,1,9,3,
59154344,Wed Sep 09 2020 12:43:23 GMT-0600 (MDT),2020-09-09 18:43:23 UTC,teaganm10,https://www.inaturalist.org/observations/59154344,https://inaturalist-open-data.s3.amazonaws.com/photos/94499076/medium.jpg,"Beaverhead-Deerlodge National Forest, Dillon, MT, US",45.23658651,-112.9304814,,Lecanoromycetes,common lichens,Fungi,Douglas Fir,1.18,30.5,4,1,0,,9,4,
59154609,2020-09-09 12:47:53 PM MDT,2020-09-09 18:47:53 UTC,gracedavison,https://www.inaturalist.org/observations/59154609,https://static.inaturalist.org/photos/94499334/medium.jpeg,"Dillon, MT 59725, USA",45.25231161,-112.9351385,common lichens,Lecanoromycetes,common lichens,Fungi,Douglas Fir,5.61,125,0,0,6,94,9,4,
59154702,2020-09-09 12:30:05 PM MDT,2020-09-09 18:30:05 UTC,colegoodman,https://www.inaturalist.org/observations/59154702,https://static.inaturalist.org/photos/94499412/medium.jpeg,"Dillon, MT 59725, USA",45.235629,-112.930517,common lichens,Lecanoromycetes,common lichens,Fungi,Douglas Fir,11.96,32.5,41,1,0,22,9,4,
59154807,Wed Sep 09 2020 12:51:36 GMT-0600 (MDT),2020-09-09 18:51:36 UTC,teaganm10,https://www.inaturalist.org/observations/59154807,https://inaturalist-open-data.s3.amazonaws.com/photos/94499926/medium.jpg,"Beaverhead-Deerlodge National Forest, Dillon, MT, US",45.23651715,-112.9303084,,Lecanoromycetes,common lichens,Fungi,Douglas Fir,1.86,27.2,2,0,1,2,9,4,
59155045,Wed Sep 09 2020 12:57:20 GMT-0600 (MDT),2020-09-09 18:57:20 UTC,teaganm10,https://www.inaturalist.org/observations/59155045,https://inaturalist-open-data.s3.amazonaws.com/photos/94499976/medium.jpg,"Beaverhead-Deerlodge National Forest, Dillon, MT, US",45.23670608,-112.9305412,,Lecanoromycetes,common lichens,Fungi,Douglas Fir,5.87,30.3,8,4,6,2,9,4,
59155154,Thu Sep 10 2020 13:25:23 GMT-0600 (MDT),2020-09-10 19:25:23 UTC,larsenbryce,https://www.inaturalist.org/observations/59155154,https://inaturalist-open-data.s3.amazonaws.com/photos/94500335/medium.jpg,"Beaverhead-Deerlodge National Forest, Dillon, MT, US",45.23740347,-112.9294073,common lichens,Lecanoromycetes,common lichens,Fungi,Douglas Fir,5.87,43.4,41,0,1,62,9,5,
60461586,Tue Sep 22 2020 17:43:59 GMT-0400 (EDT),2020-09-22 21:43:59 UTC,esudduth,https://www.inaturalist.org/observations/60461586,https://static.inaturalist.org/photos/96680802/medium.jpg,"Decatur Cemetery, Decatur, GA, US",33.78239258,-84.29207632,Common Lichens,Flavoparmelia caperata,common greenshield lichen,Fungi,Quercus velutina,11.76,54,37,29,39,34,6,,
